Round,Agent1_Type,Agent2_Type,Agent1_ExpPayoff,Agent2_ExpPayoff,Agent1_Payoff,Agent2_Payoff,Agent1_Action,Agent2_Action,Agent1_Regret,Agent2_Regret,Agent1_Belief,Agent2_Belief,Agent1_Visits,Agent2_Visits
636,MinimaxQLearner,MinimaxQLearner,-0.007849293563579274,0.004709576138147542,-1.0,1.0,1,0,77.9144889461971,-30.86518621224357,"[0.5039, 0.4961]","[0.4976, 0.5024]",320,321
637,MinimaxQLearner,MinimaxQLearner,0.009404388714733536,-0.006269592476489061,-1.0,1.0,0,1,78.92389333491182,-31.858916619767083,"[0.5047, 0.4953]","[0.4969, 0.5031]",317,316
638,MinimaxQLearner,MinimaxQLearner,0.007824726134585236,0.004694835680751186,1.0,-1.0,0,0,77.93171806104641,-30.85422178408633,"[0.5039, 0.4961]","[0.4977, 0.5023]",318,322
639,MinimaxQLearner,MinimaxQLearner,0.009374999999999967,-0.0031250000000000444,-1.0,1.0,0,1,78.94109306104642,-31.85109678408633,"[0.5047, 0.4953]","[0.4984, 0.5016]",319,317
640,MinimaxQLearner,MinimaxQLearner,0.007800312012480548,0.0015600624024960652,1.0,-1.0,0,0,77.9488933730589,-30.849536721683833,"[0.5039, 0.4961]","[0.4992, 0.5008]",320,323
641,MinimaxQLearner,MinimaxQLearner,-0.00934579439252331,0.0,1.0,-1.0,1,1,76.95823916745142,-29.849536721683833,"[0.5047, 0.4953]","[0.5, 0.5]",321,318
642,MinimaxQLearner,MinimaxQLearner,-0.007776049766718529,0.0015552099533437391,-1.0,1.0,1,0,77.96601521721814,-30.847981511730488,"[0.5039, 0.4961]","[0.4992, 0.5008]",322,324
643,MinimaxQLearner,MinimaxQLearner,-0.009316770186335421,-0.0031055900621117516,1.0,-1.0,1,1,76.97533198740447,-29.844875921668375,"[0.5047, 0.4953]","[0.4984, 0.5016]",323,319
644,MinimaxQLearner,MinimaxQLearner,0.007751937984496138,0.004651162790697716,1.0,-1.0,0,0,75.98308392538897,-28.840224758877678,"[0.5039, 0.4961]","[0.4977, 0.5023]",321,325
645,MinimaxQLearner,MinimaxQLearner,0.009287925696594479,-0.003095975232198178,-1.0,1.0,0,1,76.99237185108557,-29.83712878364548,"[0.5046, 0.4954]","[0.4985, 0.5015]",322,320
646,MinimaxQLearner,MinimaxQLearner,0.007727975270479082,-0.0015455950540958496,-1.0,1.0,0,1,78.00009982635605,-30.835583188591382,"[0.5039, 0.4961]","[0.4992, 0.5008]",323,321
647,MinimaxQLearner,MinimaxQLearner,0.006172839506172867,0.0,1.0,-1.0,0,0,77.00627266586223,-29.835583188591382,"[0.5031, 0.4969]","[0.5, 0.5]",324,326
648,MinimaxQLearner,MinimaxQLearner,-0.007704160246533087,0.0015408320493066618,1.0,-1.0,1,1,76.01397682610876,-28.834042356542074,"[0.5039, 0.4961]","[0.5008, 0.4992]",324,322
649,MinimaxQLearner,MinimaxQLearner,0.006153846153846176,0.0,1.0,-1.0,0,0,75.02013067226261,-27.834042356542074,"[0.5031, 0.4969]","[0.5, 0.5]",325,327
650,MinimaxQLearner,MinimaxQLearner,0.007680491551459279,-0.001536098310291889,1.0,-1.0,0,0,74.02781116381406,-26.83250625823178,"[0.5038, 0.4962]","[0.5008, 0.4992]",326,328
651,MinimaxQLearner,MinimaxQLearner,0.009202453987730008,0.0030674846625766694,-1.0,1.0,0,1,75.03701361780179,-27.829438773569205,"[0.5046, 0.4954]","[0.5015, 0.4985]",327,323
652,MinimaxQLearner,MinimaxQLearner,0.007656967840735052,-0.004594180704441009,1.0,-1.0,0,0,74.04467058564252,-26.824844592864764,"[0.5038, 0.4962]","[0.5023, 0.4977]",328,329
653,MinimaxQLearner,MinimaxQLearner,0.00917431192660545,0.006116207951070374,-1.0,1.0,0,1,75.05384489756912,-27.818728384913694,"[0.5046, 0.4954]","[0.5031, 0.4969]",329,324
654,MinimaxQLearner,MinimaxQLearner,0.007633587786259499,-0.007633587786259499,1.0,-1.0,0,0,74.06147848535538,-26.811094797127435,"[0.5038, 0.4962]","[0.5038, 0.4962]",330,330
