action_p1,action_p1_label,action_p2,action_p2_label,prob
8,8,1,1,0.002
8,8,2,2,0.0026
8,8,3,3,0.004
8,8,4,4,0.0024
8,8,5,5,0.0024
8,8,6,6,0.002
8,8,7,7,0.0032
8,8,8,8,0.0028
8,8,9,9,0.0022
8,8,10,10,0.0028
8,8,11,11,0.0034
8,8,12,12,0.003
8,8,13,13,0.0026
8,8,14,14,0.0034
8,8,15,15,0.0028
8,8,16,16,0.003
8,8,17,17,0.003
8,8,18,18,0.003
8,8,19,19,0.0034
9,9,0,0,0.003
9,9,1,1,0.0032
9,9,2,2,0.0034
9,9,3,3,0.0026
9,9,4,4,0.0048
9,9,5,5,0.0034
9,9,6,6,0.0024
9,9,7,7,0.0044
9,9,8,8,0.0038
9,9,9,9,0.0024
9,9,10,10,0.004
9,9,11,11,0.0028
9,9,12,12,0.0036
9,9,13,13,0.0022
9,9,14,14,0.0026
9,9,15,15,0.0028
9,9,16,16,0.004
9,9,17,17,0.004
9,9,18,18,0.003
9,9,19,19,0.0036
10,10,0,0,0.0034
10,10,1,1,0.0028
10,10,2,2,0.0046
10,10,3,3,0.0048
10,10,4,4,0.0014
10,10,5,5,0.0024
10,10,6,6,0.004
10,10,7,7,0.0016
10,10,8,8,0.0028
10,10,9,9,0.0044
10,10,10,10,0.0036
10,10,11,11,0.0032
10,10,12,12,0.0024
10,10,13,13,0.0048
10,10,14,14,0.005
10,10,15,15,0.0048
10,10,16,16,0.0038
10,10,17,17,0.0036
10,10,18,18,0.0022
10,10,19,19,0.003
11,11,0,0,0.0024
11,11,1,1,0.0018
11,11,2,2,0.0038
11,11,3,3,0.003
11,11,4,4,0.0024
11,11,5,5,0.004
11,11,6,6,0.0034
11,11,7,7,0.0034
11,11,8,8,0.0022
11,11,9,9,0.0046
11,11,10,10,0.0026
11,11,11,11,0.004
11,11,12,12,0.0022
11,11,13,13,0.0036
11,11,14,14,0.0034
11,11,15,15,0.0032
11,11,16,16,0.0036
11,11,17,17,0.003
11,11,18,18,0.0024
11,11,19,19,0.004
12,12,0,0,0.0032
12,12,1,1,0.0042
12,12,2,2,0.004
12,12,3,3,0.0026
12,12,4,4,0.0056
12,12,5,5,0.004
12,12,6,6,0.0044
12,12,7,7,0.0042
12,12,8,8,0.003
12,12,9,9,0.0038
12,12,10,10,0.005
12,12,11,11,0.0034
12,12,12,12,0.0028
12,12,13,13,0.0038
12,12,14,14,0.0034
12,12,15,15,0.0028
12,12,16,16,0.0032
12,12,17,17,0.0038
12,12,18,18,0.003
12,12,19,19,0.0028
13,13,0,0,0.0024
13,13,1,1,0.0012
13,13,2,2,0.0024
13,13,3,3,0.002
13,13,4,4,0.0038
13,13,5,5,0.0038
13,13,6,6,0.0032
13,13,7,7,0.0044
13,13,8,8,0.0026
13,13,9,9,0.0046
13,13,10,10,0.0032
13,13,11,11,0.0024
13,13,12,12,0.003
13,13,13,13,0.0024
13,13,14,14,0.0022
13,13,15,15,0.0028
13,13,16,16,0.0026
13,13,17,17,0.003
13,13,18,18,0.004
13,13,19,19,0.002
14,14,0,0,0.003
14,14,1,1,0.0022
14,14,2,2,0.0026
14,14,3,3,0.0052
14,14,4,4,0.0032
14,14,5,5,0.0034
14,14,6,6,0.0042
14,14,7,7,0.004
14,14,8,8,0.0026
14,14,9,9,0.0032
14,14,10,10,0.0028
14,14,11,11,0.003
14,14,12,12,0.0042
14,14,13,13,0.004
14,14,14,14,0.0036
14,14,15,15,0.0032
14,14,16,16,0.0022
14,14,17,17,0.0042
14,14,18,18,0.0028
14,14,19,19,0.0034
15,15,0,0,0.0036
15,15,1,1,0.0052
15,15,2,2,0.0036
15,15,3,3,0.0026
15,15,4,4,0.0026
15,15,5,5,0.0038
15,15,6,6,0.0044
15,15,7,7,0.0028
15,15,8,8,0.002
15,15,9,9,0.0036
15,15,10,10,0.0014
15,15,11,11,0.0024
15,15,12,12,0.0032
15,15,13,13,0.0028
15,15,14,14,0.0042
15,15,15,15,0.0042
15,15,16,16,0.003
15,15,17,17,0.0024
15,15,18,18,0.0034
15,15,19,19,0.0024
